"","Productivity of Peach Trees: Factors Affecting Dry-weight Distribution During Tree Growth","D. J. CHALMERS 	B. VAN DEN ENDE ","","","","1975-01-03T00:00:00Z","","42753362"
"","Associated Finds of Irish Neolithic Celts","E. C. R. Armstrong ","","","","1917-01-03T00:00:00Z","","25504211"
"","Nematocysts of the Coronate Scyphomedusa, Linuche unguiculata, with a Brief Reexamination of Scyphoz","Dale R. Calder ","","","","1974-01-03T00:00:00Z","","1351039"
"","THE QUALITY OF SITKA SPRUCE GROWN IN GREAT BRITAIN","J. BRYAN 	F. G. O. PEARSON ","","","","1955-01-03T00:00:00Z","","42602574"
"","Structure of Hydra Nematocysts: Geometry of the Connection between the Butt and Tubule","Richard D. Campbell ","","","","1977-01-03T00:00:00Z","","3225975"
"","ANTHROPOMORPHIC STONE POUNDERS IN NEW ZEALAND","D. R. Simmons ","","","","1971-01-03T00:00:00Z","","42906163"
"","QUELQUES ASSOCIATIONS VÉGÉTALES: de l'Ardenne schisteuse","Pierre JOUANNE ","","","","1926-01-03T00:00:00Z","","20791487"
"","The Astrocyte Response to γ -aminobutyric Acid Attenuates with Age in the Rat Optic Nerve","Arthur M. Butt 	Jason Jennings ","","","","1994-01-03T00:00:00Z","","49966"
"","TIMBER POINT","REGINALD DAVEY ","","","","1941-01-03T00:00:00Z","","42593631"
"","Incorporation of","R. M. Roberts 	V. S. Butt ","","","","1970-01-03T00:00:00Z","","23368833"
"","ELECTRIC WELDED STEEL PIPE LINES","F. W. Hanna ","","","","1931-01-03T00:00:00Z","","41228015"
"","Patterns of Incorporation of D-Galactose into Cell Wall Polysaccharide of Growing Maize Roots","R. M. Roberts 	V. S. Butt ","","","","1969-01-03T00:00:00Z","","23367656"
"","Wear and Opening as Sources of Band Loss in the White Stork","Roger Jovani 	José L. Tella ","","","","2005-01-03T00:00:00Z","","4132623"
"","Field Welding of Steel Water Pipe","H. Arthur Price 	G. H. Garrett ","","","","1943-01-03T00:00:00Z","","23345463"
"","Mold Development in Ears of Corn from Tasseling to Harvest","C. W. Hesseltine 	R. J. Bothast ","","","","1977-01-03T00:00:00Z","","3758658"
"","SOME MECHANICAL AND ABRASIVE PROPERTIES OF PINANG SALAR (ARECA CATECHU) STEMS","Ahmad Shakri Mat Seman 	Ashaari Hj. Amin 	Hilmi Md. Tahir ","","","","1994-01-03T00:00:00Z","","43582439"
"","A COMPARISON OF FOREST- AND PLANTATION-GROWN AFRICAN PENCIL CEDAR (JUNIPERUS PROCERA HOCHST.) WITH S","E. W. J. PHILLIPS ","","","","1940-01-03T00:00:00Z","","42594803"
"","An Account of Some Experiments for Trying the Force of Great Guns, by the Learned Mr. Greaves; Commu","Mr. Greaves 	Mr. Stubbs ","","","","1685-01-03T00:00:00Z","","102162"
"","Metabolism and decarboxylation of glycollate and serine in leaf peroxisomes","Nicholas J. Walton 	Vernon S. Butt ","","","","1981-01-03T00:00:00Z","","23375308"
"","Retention of Butt-End Aluminum Leg Bands by Wild Turkeys","MATTHEW J. BUTLER 	BRET A. COLLIER 	R. DOUGLAS HOLT ","","","","2011-01-03T00:00:00Z","","41418228"
"","Glutamate and serine as competing donors for amination of glyoxylate in leaf peroxisomes","Nicholas J. Walton 	Vernon S. Butt ","","","","1981-01-03T00:00:00Z","","23375309"
"",""TENTATIVE" AWWA STANDARD for FABRICATED ELECTRICALLY WELDED STEEL WATER PIPE"," ","","","","1960-01-03T00:00:00Z","","41256183"
"","Bark Factors Affecting the Distribution of Corticolous Bryophytic Communities","W. D. Billings 	W. B. Drew ","","","","1938-01-03T00:00:00Z","","2420630"
"","QUELQUES ALGUES DE LA RÉGION DE BRÛLY (FRANCE, DÉPT. DES ARDENNES; BELGIQUE, PROV. DE NAMUR)","Pierre COMPÈRE ","","","","1979-01-03T00:00:00Z","","20793794"
"","An Electron Microscopic Study of Two Nematocytes in the Tentacle of Cyanea capillata","Joseph W. Burnett ","","","","1971-01-03T00:00:00Z","","1351140"
"","Experimental Investigations of the Effects of Takahe and Deer Grazing on Chionochloa pallens Grassla","J. A. Mills 	W. G. Lee 	R. B. Lavers ","","","","1989-01-03T00:00:00Z","","2404069"
"","OBSERVATIONS ON BLUE-STAIN AND PIN-HOLE BEETLES, AND THEIR CONTROL, IN UNPEELED LOGS OF PINUS CARIBA","R. G. PAWSEY ","","","","1968-01-03T00:00:00Z","","42603687"
"","Adenosine Triphosphatase Activity in Cell-Wall Preparations and Excised Roots of Barley","J. L. HALL 	V. S. BUTT ","","","","1969-01-03T00:00:00Z","","23688408"
"","Foraminifera of the Type Turonian","Aftab A. Butt ","","","","1966-01-03T00:00:00Z","","1484707"
"","Field Observations of Sediment Fluxes in the Inner-Surf and Swash Zones","Tony Butt 	Jonathan Tinker 	Gerd Masselink ","","","","2009-01-03T00:00:00Z","","27698393"
"","Tentative Standard Specifications for Field Welding of Steel Water Pipe Joints"," ","","","","1946-01-03T00:00:00Z","","23347682"
"","Irish Antiquities of the Bronze Age, Iron Age and Early Christian Period in the National Museum of D","George Eogan ","","","","1991-01-03T00:00:00Z","","25516080"
"","Partial Purification and Properties of Adenosine Nucleosidase from Leaves of Spinach Beet (Beta vulg","Jonathan E. Poulton 	Vernon S. Butt ","","","","1976-01-03T00:00:00Z","","23372103"
"","The Role of the Premandibular or Intercalary Segment in Head Segmentation of Insects and Other Arthr","F. H. Butt ","","","","1957-01-03T00:00:00Z","","25077737"
"","Tentative Revision of STANDARD SPECIFICATIONS for STEEL WATER PIPE OF SIZES UP TO BUT NOT INCLUDING "," ","","","","1943-01-03T00:00:00Z","","23344874"
"","Ranikothalia sindensis Zone in Late Paleocene Biostratigraphy","Aftab A. Butt ","","","","1991-01-03T00:00:00Z","","1485746"
"","THE AUCKLAND WAR MEMORIAL MUSEUM COLLECTION OF ADZES FROM PITCAIRN ISLAND, EAST POLYNESIA","Marianne Turner ","","","","2010-01-03T00:00:00Z","","42905917"
"","Glyoxylate Decarboxylation during Photorespiration","Bernard Grodzinski ","","","","1978-01-03T00:00:00Z","","23373962"
"","Lingulogavelinella (Foraminifera) in the Cretaceous of the Great Artesian Basin, Australia","Viera Scheibnerová ","","","","1971-01-03T00:00:00Z","","1485042"
"","The Attack Frequency of Gnathonemus petersii towards Electrically Silent (Denervated) and Intact Con","Bernd Kramer ","","","","1976-01-03T00:00:00Z","","4599111"
"","Double Hens' Eggs","G. H. Parker ","","","","1906-01-03T00:00:00Z","","2455173"
"","Abrasion and Loss of Bands from Dry Tortugas Sooty Terns (Desgaste y perdida de bandas en especimene","Eva E. Bailey 	Glen E. Woolfenden 	William B. Robertson, Jr. ","","","","1987-01-03T00:00:00Z","","4513261"
"","An Ultrastructural Study of the Nematocytes of the Polyp of Chrysaora quinquecirrha","Joseph W. Burnett ","","","","1971-01-03T00:00:00Z","","1350909"
"","EFFECTS OF AGE AND HEIGHT OF THREE BAMBOO SPECIES ON THEIR MACHINING PROPERTIES","Abd. Latif Mohmod ","","","","1993-01-03T00:00:00Z","","43581703"
