"","[Marginal fit of porcelain-fused-to-metal crowns: a comparative study of metal and porcelain butt ma"," ","","","","1989-09-22T00:00:00Z","","2489487"
"","The production of secondary caries-like lesions on cavity walls and the assessment of microleakage u"," ","","","","","","2283552"
"","[Rumen fistula operation in a sitatunga antelope (Tragelaphus spekei gratus)]."," ","","","","1991-01-01T00:00:00Z","","2015027"
"","[GLC-mass-spectrometrical investigation of the volatile components of wines. VI. Aroma compounds of "," ","","","","1976-04-28T00:00:00Z","","973462"
"","Validation of the smoking habits of a sample of the patient population seen in a pulmonary function "," ","","","","1989-12-29T00:00:00Z","","2604307"
"","Effect of repair surface design, repair material, and processing method on the transverse strength o"," ","","","","1992-06-30T00:00:00Z","","1403868"
"","Use of bioelectrical impedance to predict leanness of Boston butts."," ","","","","1992-11-02T00:00:00Z","","1459905"
"","NMR in cancer: XVIII. A superconductive NMR magnet for a human sample."," ","","","","1977-10-07T00:00:00Z","","909948"
"","Margin designs and fracture resistance of incisal resin composite restorations."," ","","","","1992-02-13T00:00:00Z","","1524737"
"","[Single tooth replacement with an endosseous oral implant and a ceramic fused to metal crown in comb"," ","","","","1991-11-13T00:00:00Z","","1818753"
"","Cement thickness and microleakage under metal-ceramic restorations with a facial butted margin: an i"," ","","","","1992-11-11T00:00:00Z","","1428612"
"","The bonded alumina crown. 2. Construction using the twin foil technique."," ","","","","1976-06-08T00:00:00Z","","791223"
"","[The differential diagnosis and the identification importance of the track of the heel of stabbing-c"," ","","","","1991-08-15T00:00:00Z","","1882397"
"","[Comparative studies on different full and veneer-ceramic crowns]."," ","","","","1989-11-23T00:00:00Z","","2639007"
"","Potential exposure from smoking parathion-contaminated cigarettes."," ","","","","1977-08-22T00:00:00Z","","907371"
"","A new metal-ceramic crown."," ","","","","1978-09-01T00:00:00Z","","359783"
"","Marginal leakage with different composite restorative materials in vitro. Effect of cavity design."," ","","","","1976-10-01T00:00:00Z","","789832"
"","[Pistols and revolvers as striking tools]."," ","","","","1989-03-01T00:00:00Z","","2802923"
"","Ultrastructural identification of umbilical cord vein endothelium in situ and in culture."," ","","","","1975-09-16T00:00:00Z","","169999"
"","Invisible supragingival crown margins: an in vitro study."," ","","","","1989-06-07T00:00:00Z","","2700628"
"","Bile salt 3 alpha- and 12 alpha-hydroxysteroid dehydrogenases from Eubacterium lentum and related or"," ","","","","1979-05-15T00:00:00Z","","39496"
"","[The effect of modified forms of preparation on the quality of SR Isosit composite inlay margins]."," ","","","","1991-09-20T00:00:00Z","","1817943"
"","Factors affecting the detection of infestations of Boophilus microplus in tick control programs."," ","","","","1976-07-25T00:00:00Z","","985247"
"","Marginal leakage with different composite restorative materials: effect of restorative techniques."," ","","","","1976-12-15T00:00:00Z","","794089"
"","Impact of long-term filter cigarette usage on lung and larynx cancer risk: a case-control study."," ","","","","1979-03-23T00:00:00Z","","283277"
"","Performance of occlusin in butt-joint and bevel-edged preparations: five-year results. 4."," ","","","","1991-04-08T00:00:00Z","","1936647"
"","Ureterocolostomy. An antireflux technique."," ","","","","1977-09-15T00:00:00Z","","903208"
"","[The use of island flaps and transplants with a blood supply in the reconstructive microsurgery of i"," ","","","","1991-12-10T00:00:00Z","","1774874"
"","Improved efficacy of some phosphate-based dentin-bonding agents."," ","","","","1989-09-30T00:00:00Z","","2700465"
"","Tar, CO and delta 9THC delivery from the 1st and 2nd halves of a marijuana cigarette."," ","","","","1991-11-21T00:00:00Z","","1666924"
"","[Adhesion of artificial teeth to polymethacrylate resins]."," ","","","","1990-07-10T00:00:00Z","","2200099"
"","[Effect of cavity design on the marginal fit of Class I composite fillings]."," ","","","","1990-10-03T00:00:00Z","","2269074"
"","Effect of three dentin adhesives on marginal adaptation of two light-cured composites."," ","","","","1986-02-21T00:00:00Z","","2939544"
"","[Intraoperative abdominal echography]."," ","","","","1990-04-03T00:00:00Z","","2204746"
