"","Mechanism of DNA Elongation Catalyzed by Escherichia coli DNA Polymerase III, dnaZ Protein, and DNA ","Sue Wickner ","","","","1976-01-03T00:00:00Z","","66630"
"","DNA or RNA Priming of Bacteriophage G4 DNA Synthesis by Escherichia coli dnaG Protein","Sue Wickner ","","","","1977-01-03T00:00:00Z","","67251"
"","Bovine Papilloma Virus: Presence of Virus-Specific DNA Sequences in Naturally Occurring Equine Tumor","Wayne D. Lancaster 	Carl Olson 	William Meinke ","","","","1977-01-03T00:00:00Z","","66222"
"","Mammalian Proliferating Cell Nuclear Antigen Stimulates the Processivity of Two Wheat Embryo DNA Pol","Patricia Laquel 	Simon Litvak 	Michel Castroviejo ","","","","1993-01-03T00:00:00Z","","4275151"
"","Differential Cloning of Genomic DNA: Cloning of DNA with an Altered Primary Structure by In-Gel Comp","Hiroshi Yokota 	Michio Oishi ","","","","1990-01-03T00:00:00Z","","2356215"
"","Dividing a supercoiled DNA molecule into two independent topological domains","Fenfei Leng 	Bo Chen 	David D. Dunlap ","","","","2011-01-03T00:00:00Z","","23060060"
"","The Thioredoxin Binding Domain of Bacteriophage T7 DNA Polymerase Confers Processivity on Escherichi","Ella Bedford 	Stanley Tabor 	Charles C. Richardson ","","","","1997-01-03T00:00:00Z","","41228"
"","A DNA Fragment of Herpes Simplex 2 and Its Transcription in Human Cervical Cancer Tissue","Niza Frenkel 	Bernard Roizman 	Enzo Cassai ","","","","1972-01-03T00:00:00Z","","62086"
"","Short DNA Sequences from the Cytoplasm of Mouse Tumor Cells Induce Immortalization of Human Lymphocy","Hinrich Abken 	Ralf Hegger 	Christoph Butzler ","","","","1993-01-03T00:00:00Z","","2362537"
"","Attempts to Detect Agrobacterium tumefaciens DNA in Crown Gall Tumor Tissue","Donald J. Merlo 	John D. Kemp ","","","","1976-01-03T00:00:00Z","","4264500"
""," The Effect of γ-Irradiated DNA on the Activity of DNA Polymerase ","Steven A. Leadon 	John F. Ward ","","","","1981-01-03T00:00:00Z","","3575461"
"","Isolation and Some Properties of the Genes Coding for Histone Proteins","M. Birnstiel 	J. Telford 	E. Weinberg ","","","","1974-01-03T00:00:00Z","","63676"
"","Revealing the competition between peeled ssDNA, melting bubbles, and S-DNA during DNA overstretching","Xinghua Zhang 	Hu Chen 	Shimin Le ","","","","2013-01-03T00:00:00Z","","41992288"
"","Evolution of Dna Content in Higher Plants","H. James Price 	Margarita Baranova ","","","","1976-01-03T00:00:00Z","","4353893"
"","On the Question of the Integration of Exogenous Bacterial DNA into Plant DNA","A. Kleinhofs 	Francine C. Eden 	Mary-Dell Chilton ","","","","1975-01-03T00:00:00Z","","64799"
"","The Presence of Unique DNA Sequences after Viral Induction of Leukemia in Mice","R. W. Sweet 	N. C. Goodman 	J.-R. Cho ","","","","1974-01-03T00:00:00Z","","63506"
"","Template Supercoiling during ATP-Dependent DNA Helix Tracking: Studies with Simian Virus 40 Large Tu","Liu Yang 	C. Bret Jessee 	Kawai Lau ","","","","1989-01-03T00:00:00Z","","34276"
"","Accessory Proteins for DNA Polymerase α Activity with Single-Strand DNA Templates","Pedro Lamothe 	Betty Baril 	Alice Chi ","","","","1981-01-03T00:00:00Z","","10413"
"","Studies on the Amount of Single-Stranded DNA Present in Chinese Hamster Ovary Cells during the Repai","Rosemary S. L. Wong 	William C. Dewey ","","","","1981-01-03T00:00:00Z","","3575531"
"","Homology between Bacteriophage λ DNA and E. coli DNA","Dean B. Cowie 	Brian J. McCarthy ","","","","1963-01-03T00:00:00Z","","72054"
"","Uracil Incorporation into Nascent DNA of Thymine-Requiring Mutant of Bacillus subtilis 168","Fuyuhiko Tamanoi 	Tuneko Okazaki ","","","","1978-01-03T00:00:00Z","","68411"
"","Hepatitis B Virus DNA in Kaposi Sarcoma","Aleem Siddiqui ","","","","1983-01-03T00:00:00Z","","14483"
"","Perturbations of Enzymic Uracil Excision Due to Purine Damage in DNA","Nahum J. Duker 	David E. Jensen 	Donna M. Hart ","","","","1982-01-03T00:00:00Z","","12629"
"","Yeast 2-μ m Plasmid DNA Replication in vitro: Purification of the CDC8 Gene Product by Complementati","Josef Arendes 	Kwang C. Kim 	Akio Sugino ","","","","1983-01-03T00:00:00Z","","13732"
"","Characterization of DNA Condensates Induced by Poly(ethylene oxide) and Polylysine","U. K. Laemmli ","","","","1975-01-03T00:00:00Z","","64941"
"","Limited Action of Micrococcal Nuclease on Trout Testis Nuclei Generates Two Mononucleosome Subsets E","Beatriz Levy-Wilson 	Gordon H. Dixon ","","","","1979-01-03T00:00:00Z","","69576"
"","Ribonucleotide-Induced Helical Alteration in DNA Prevents Nucleosome Formation","Kenneth R. Hovatter 	Harold G. Martinson ","","","","1987-01-03T00:00:00Z","","29155"
"","Variable-Sized Free Episomes of Shope Papilloma Virus DNA are Present in All Non-Virus-Producing Neo","Felix O. Wettstein 	Jack G. Stevens ","","","","1982-01-03T00:00:00Z","","11661"
"","Recognition of Chemical Carcinogen-Modified DNA by a DNA-Binding Protein","Francesco Moranelli 	Michael W. Lieberman ","","","","1980-01-03T00:00:00Z","","8855"
"","Single-Stranded DNA from Oncornavirus-Infected Cells Enriched in Virus-Specific DNA Sequences","Serge A. Leibovitch 	Haim Tapiero 	Jacques Harel ","","","","1977-01-03T00:00:00Z","","67022"
"","Altered Temporal Expression of DNA Repair in Hypermutable Bloom's Syndrome Cells","Pawan K. Gupta 	Michael A. Sirover ","","","","1984-01-03T00:00:00Z","","23689"
"","Studies on in Vitro DNA Synthesis. Isolation of dna B Gene Product from Escherichia coli","Michel Wright 	Sue Wickner 	Jerard Hurwitz ","","","","1973-01-03T00:00:00Z","","62935"
"","Purification of a DNA Supercoiling Factor from the Posterior Silk Gland of Bombyx mori","Tsutomu Ohta 	Susumu Hirose ","","","","1990-01-03T00:00:00Z","","2355074"
"","Mitochondrial DNA from Sheep Heart","Albert M. Kroon 	Piet Borst 	Ernst F. J. Van Bruggen ","","","","1966-01-03T00:00:00Z","","57634"
"","Thioredoxin Suppresses Microscopic Hopping of T7 DNA Polymerase on Duplex DNA","Candice M. Etson 	Samir M. Hamdan 	Charles C. Richardson ","","","","2010-01-03T00:00:00Z","","40536506"
"","Topoisomerase II Activity in the Replicating DNA of Irradiated Hamster Cells","Raymond L. Warters 	Ronald Zagorski ","","","","1991-01-03T00:00:00Z","","3578134"
"","Conversion of a Helix-Turn-Helix Motif Sequence-Specific DNA Binding Protein into a Site-Specific DN","Richard H. Ebright 	Yon W. Ebright 	P. Shannon Pendergrast ","","","","1990-01-03T00:00:00Z","","2354062"
"","Requirement for two DNA Polymerases in the Replication of Simian Virus 40 DNA in vitro","David H. Weinberg 	Thomas J. Kelly ","","","","1989-01-03T00:00:00Z","","34731"
"","Spermidine-Condensed φ X174 DNA Cleavage by Micrococcal Nuclease: Torus Cleavage Model and Evidence ","Kenneth A. Marx 	Thomas C. Reynolds ","","","","1982-01-03T00:00:00Z","","13250"
"","Size and Structure of Yeast Chromosomal DNA","Thomas D. Petes 	Breck Byers 	Walton L. Fangman ","","","","1973-01-03T00:00:00Z","","62924"
"","Enzymes Acting at Strand Interruptions in DNA","Tomas Lindahl 	Masahiko S. Satoh 	Grigory Dianov ","","","","1995-01-03T00:00:00Z","","56064"
"","Formation and Repair of DNA-Protein Crosslinks in Newly Replicated DNA","Song-Mao Chiu 	Libby R. Friedman 	Nancy L. Oleinick ","","","","1989-01-03T00:00:00Z","","3577804"
"","Replication Forks are Underrepresented in Chromosomal DNA of Xenopus laevis Embryos","Michelle F. Gaudette 	Robert M. Benbow ","","","","1986-01-03T00:00:00Z","","28072"
"","Gene Expression in Interspecific Hybrids, I. DNA Synthesis in the Lethal Cross Arbacia lixula [Note:","H. Denis 	J. Brachet ","","","","1969-01-03T00:00:00Z","","58831"
"","A Modified Alkaline Comet Assay for Measuring DNA Repair Capacity in Human Populations","Andrzej R. Trzeciak 	Janice Barnes 	Michele K. Evans ","","","","2008-01-03T00:00:00Z","","30130621"
"","Bacterial natural transformation by highly fragmented and damaged DNA","Søren Overballe-Petersen 	Klaus Harms 	Ludovic A. A. Orlando ","","","","2013-01-03T00:00:00Z","","23758324"
"","A DNA-Unwinding Protein Isolated from Escherichia coli: Its Interaction with DNA and with DNA Polyme","Nolan Sigal 	Hajo Delius 	Thomas Kornberg ","","","","1972-01-03T00:00:00Z","","62031"
"","Site-Specific Integration of Agrobacterium tumefaciens T-DNA via Double-Stranded Intermediates","Tzvi Tzfira 	 Leah Renée Frankman  	Manjusha Vaidya ","","","","2003-01-03T00:00:00Z","","4281416"
"","Genetic Evolution of Bacteriophage, II. Physical Length of the Homologous Region in a Hybrid between","Hiroto Akiyoshi 	Nobuto Yamamoto ","","","","1970-01-03T00:00:00Z","","60066"
"","Hopping of a Processivity Factor on DNA Revealed by Single-Molecule Assays of Diffusion","Gloria Komazin-Meredith 	Rossen Mirchev 	David E. Golan ","","","","2008-01-03T00:00:00Z","","25463228"
"","Origin of DNA Replication in Papovavirus Chromatin is Recognized by Endogenous Endonuclease","Waldemar Waldeck 	Bernd Fohring 	Kamal Chowdhury ","","","","1978-01-03T00:00:00Z","","68879"
"","In vivo Production of an RNA-DNA Copolymer after Infection of Escherichia coli by Bacteriophage T4","Patrick J. Buckley 	Linda D. Kosturko 	Andrzej W. Kozinski ","","","","1972-01-03T00:00:00Z","","61559"
"","Solution structure of the Zβ domain of human DNA-dependent activator of IFN-regulatory factors and i","Kyungmin Kim 	Bulat I. Khayrutdinov 	Chung-Kyung Lee ","","","","2011-01-03T00:00:00Z","","41242105"
