"","General internal medicine and general internists: recognizing a national need. Federated Council for"," ","","","","1992-11-01T00:00:00Z","","1416580"
"","Peptic ulcer--an infectious disease?"," ","","","","1990-02-01T00:00:00Z","","2407032"
"","The adult respiratory distress syndrome. New insights into diagnosis, pathophysiology, and treatment"," ","","","","1989-02-14T00:00:00Z","","2658327"
"","Wegener's granulomatosis."," ","","","","1989-03-01T00:00:00Z","","2735037"
"","High-dose epinephrine therapy and other advances in treating cardiac arrest."," ","","","","","","2191503"
"","Physician payment reform--an idea whose time has come."," ","","","","1990-03-10T00:00:00Z","","2185598"
"","The pulmonary complications of bone marrow transplantation in adults."," ","","","","1989-04-01T00:00:00Z","","2660416"
"","Diabetes, dietary protein and glomerular hyperfiltration."," ","","","","1987-10-12T00:00:00Z","","2891223"
"","Therapeutic options in the management of life-threatening arrhythmias."," ","","","","1989-07-01T00:00:00Z","","2763541"
"","The clinical challenges of myocardial infarction in the elderly."," ","","","","1989-09-14T00:00:00Z","","2686169"
"","Immunotherapy for infectious diseases."," ","","","","1990-04-15T00:00:00Z","","1693458"
"","Comments on nomenclature in traditional Chinese medicine."," ","","","","1992-09-15T00:00:00Z","","1519560"
"","Arsenic poisoning."," ","","","","1973-03-01T00:00:00Z","","4689535"
"","Medical staff conference: drug-induced lung disease: the price of progress."," ","","","","1973-10-20T00:00:00Z","","4749312"
"","Tolbutamide. Therapeutic trials and clinical practice."," ","","","","1972-12-13T00:00:00Z","","4564378"
"","Current concepts in bacterial meningitis."," ","","","","1989-08-15T00:00:00Z","","2672601"
"","Physician risk and responsibility in the HIV epidemic."," ","","","","1990-01-17T00:00:00Z","","2309474"
"","Update on pseudomembranous colitis."," ","","","","1989-12-30T00:00:00Z","","2694622"
"","Medical student interest in internal medicine. Initial report of the Society of General Internal Med"," ","","","","1991-01-01T00:00:00Z","","1983935"
"","Publications by family physicians in non-family medicine journals."," ","","","","1990-12-08T00:00:00Z","","2288235"
"","Therapeutic options in treating acute myocardial infarction."," ","","","","1989-10-30T00:00:00Z","","2531500"
"","Progressive systemic sclerosis. "Something old, something new, something borrowed, something blue"."," ","","","","1973-08-15T00:00:00Z","","4726949"
"","Isolated hypoaldosteronism."," ","","","","1973-06-15T00:00:00Z","","4709523"
"","Antibiotic therapy in compromised hosts."," ","","","","1973-07-20T00:00:00Z","","4542416"
"","General internal medicine and technologically less developed countries."," ","","","","1990-11-01T00:00:00Z","","2231040"
"","Management of mild hypertension. Selecting an antihypertensive regimen."," ","","","","1991-01-01T00:00:00Z","","2024512"
"","The biology and physiology of aging."," ","","","","1990-12-30T00:00:00Z","","2293470"
"","Hypersplenism."," ","","","","1973-01-06T00:00:00Z","","4734413"
"","Renal cystic disease."," ","","","","1973-11-26T00:00:00Z","","4755693"
"","Ocular complications of rheumatic diseases."," ","","","","1973-05-30T00:00:00Z","","4540690"
