"","Potential for Introducing Cold Tolerance into Papaya by Transformation with C-Repeat Binding Factor ","S. A. Dhekney 	R. E. Litz 	D. A. Moraga Amador ","","","","2007-01-03T00:00:00Z","","20461672"
"","Rapid sex identification of papaya (Carica papaya) using multiplex loop-mediated isothermal amplific","Te-Hua Hsu 	Jin-Chywan Gwo 	Kuan-Hung Lin ","","","","2012-01-03T00:00:00Z","","43565317"
"","Cloning of the Papaya Chromoplast-Specific Lycopene β-Cyclase, CpCYC-b, Controlling Fruit Flesh Colo","Andrea L. Blas 	Ray Ming 	Zhiyong Liu ","","","","2010-01-03T00:00:00Z","","25680800"
"","A Protocol for Efficient Transformation and Regeneration of Carica papaya L.","Wenqi Cai 	Carol Gonsalves 	Paula Tennant ","","","","1999-01-03T00:00:00Z","","4293161"
"","Regeneration of Transgenic Papaya Plants via Somatic Embryogenesis Induced by Agrobacterium rhizogen","José Luis Cabrera-Ponce 	Ariadne Vegas-Garcia 	Luis Herrera-Estrella ","","","","1996-01-03T00:00:00Z","","20064883"
"","Isolation and functional characterization of a lycopene β-cyclase gene that controls fruit colour of","Luke C. Devitt 	Kent Fanning 	Ralf G. Dietzgen ","","","","2010-01-03T00:00:00Z","","24038541"
"","MORPHOLOGICAL AND MOLECULAR IDENTIFICATION OF PARACOCCUS MARGINATUS (HEMIPTERA: PSEUDOCOCCIDAE) IN Y","Fuzhong Wu 	Zhihong Liu 	Hong Shen ","","","","2014-01-03T00:00:00Z","","24364109"
"","Rapid divergence and expansion of the X chromosome in papaya","Andrea R. Gschwend 	Qingyi Yu 	Eric J. Tong ","","","","2012-01-03T00:00:00Z","","41700997"
"","B-class MADS-box genes in trioecious papaya: two paleoAP3 paralogs, CpTM6-1 and CpTM6-2, and a PI or","Christine M. Ackerman 	Qingyi Yu 	Sangtae Kim ","","","","2008-01-03T00:00:00Z","","23390036"
"","Expression of the grapevine stilbene synthase gene VST1 in papaya provides increased resistance agai","Yun J. Zhu 	Ricelle Agbayani 	Mel C. Jackson ","","","","2004-01-03T00:00:00Z","","23388632"
"","Finding and Comparing Syntenic Regions among Arabidopsis and the Outgroups Papaya, Poplar, and Grape","Eric Lyons 	Brent Pedersen 	Josh Kane ","","","","2008-01-03T00:00:00Z","","40066308"
