"10.3390/ijms17101630","Direct LAMP Assay without Prior DNA Purification for Sex Determination of Papaya"," ","","17","","","","pmc5085663"
"10.1270/jsbbs.16107","Development of plants resistant to Papaya leaf distortion mosaic virus by intergeneric hybridization","Kazuhiko Tarora	Ayano Shudo	Shinji Kawano","","66","","","734-741","pmc5282761"
"10.1093/jxb/erp284","Isolation and functional characterization of a lycopene β-cyclase gene that controls fruit colour of","Luke C. Devitt	Kent Fanning	Ralf G. Dietzgen","","61","","2009-11-03T00:00:00Z","33-39","pmc2791114"
"10.1155/2011/929472","Construction of Papaya Male and Female BAC Libraries and Application in Physical Mapping of the Sex ","Andrea R. Gschwend	Qingyi Yu	Paul Moore","","2011","","","","pmc3134383"
"10.1186/s12863-014-0137-0","Genetic diversity analysis in a set of Caricaceae accessions using resistance gene analogues","Samik Sengupta	Basabdatta Das	Pinaki Acharyya","","15","","2014-12-10T00:00:00Z","","pmc4271346"
"10.3389/fpls.2016.00855","Transcriptome Profiling Revealed Stress-Induced and Disease Resistance Genes Up-Regulated in PRSV Re","Jingping Fang	Aiting Lin	Weijing Qiu","","7","","","","pmc4909764"
"10.1093/jisesa/iev087","Morphological and DNA Barcoding Evidence for Invasive Pest Thrips, Thrips parvispinus (Thripidae: Th","Kaomud Tyagi	Vikas Kumar	Devkant Singha","","15","","","","pmc4677499"
"10.1155/2017/8235069","Modulatory Effect of Fermented Papaya Extracts on Mammary Gland Hyperplasia Induced by Estrogen and ","Zhenqiang You	Junying Sun	Feng Xie","","2017","","","","pmc5735651"
"10.1016/j.coviro.2017.07.022","Utilization of engineered resistance to viruses in crops of the developing world, with emphasis on s","Jan F Kreuze	Jari PT Valkonen","","26","","2017-10-01T00:00:00Z","90-97","pmc5669357"
"10.1038/srep15432","Comparison of transmission of Papaya leaf curl China virus among four cryptic species of the whitefl","Tao Guo	Qi Guo	Xi-Yun Cui","","5","","","","pmc4614018"
"","DNA fragmentation and oxidative stress compromise sperm motility and survival in late pregnancy expo","Oyelowo Oluwakemi	Adegoke Olufeyisipe","","19","","","511-520","pmc4923472"
"10.3767/003158511X602071","Asperisporium and Pantospora (Mycosphaerellaceae): epitypifications and phylogenetic placement","A.M. Minnis	A.H. Kennedy	D.B. Grenier","","27","","","1-8","pmc3251325"
"10.1371/journal.pone.0165030","RAP2.4a Is Transported through the Phloem to Regulate Cold and Heat Tolerance in Papaya Tree (Carica"," ","","11","","","","pmc5072549"
