"","IgE-mediated food allergy."," ","","","","1987-11-01T00:00:00Z","","fla"
"","Cross-reactivity among the pollen proteins of birch and apple trees."," ","","","","1990-06-26T00:00:00Z","","fla"
"","[A clinical study of two cases with immediate hypersensitivity to apple-pulp and an investigation of"," ","","","","1989-07-15T00:00:00Z","","fla"
"","Apple juice, fructose, and chronic nonspecific diarrhoea."," ","","","","1989-04-14T00:00:00Z","","fla"
"","Effect of dehydrated apple products on the serum and liver lipids in Syrian hamsters."," ","","","","1990-05-15T00:00:00Z","","fla"
"","Hypersensitivity to apple and carrot can be reliably detected with fresh material."," ","","","","1978-06-15T00:00:00Z","","fla"
"","Antiviral effect of apple beverages."," ","","","","1978-12-29T00:00:00Z","","fla"
"","Cariogenicity of Milchschnitte (Ferrero GmbH) and apple in program-fed rats."," ","","","","1991-10-01T00:00:00Z","","fla"
"","Glycaemic and insulinaemic responses to orange and apple compared with white bread in non-insulin-de"," ","","","","1992-04-12T00:00:00Z","","fla"
"","[Retention of apple starch in production of pectin by the aluminum pectinate procedure]."," ","","","","1976-07-20T00:00:00Z","","fla"
"","Common epitopes of birch pollen and apples--studies by western and northern blot."," ","","","","1991-10-22T00:00:00Z","","fla"
"","An ethylene-related cDNA from ripening apples."," ","","","","1992-05-29T00:00:00Z","","fla"
"","The effect of preoperative apple juice on gastric contents, thirst, and hunger in children."," ","","","","1989-01-10T00:00:00Z","","fla"
"","[Pesticide residues in dried apples (author's transl)]."," ","","","","1977-02-25T00:00:00Z","","fla"
"","Steroid pattern of bile and feces in response to a fruit-enriched diet in hypercholesterolemic hamst"," ","","","","1990-10-01T00:00:00Z","","fla"
"","[New methods for evaluation and analysis of organoleptic qualities of foods and for calculation of c"," ","","","","1976-08-14T00:00:00Z","","fla"
"","[Determination of patulin in foodstuffs. Part I: Determination of patulin in apple juice (author's t"," ","","","","1977-03-21T00:00:00Z","","fla"
"","Computer assisted analysis of hand radiographs in infantile hypophosphatasia carriers."," ","","","","1991-06-26T00:00:00Z","","fla"
"","Location of the disulfide bonds in human plasma prekallikrein: the presence of four novel apple doma"," ","","","","1991-02-26T00:00:00Z","","fla"
"","[Effects of pectin in the ration on cholesterol metabolism in rats]."," ","","","","1992-08-21T00:00:00Z","","fla"
"","Location of the disulfide bonds in human coagulation factor XI: the presence of tandem apple domains"," ","","","","1991-02-26T00:00:00Z","","fla"
"","[Effect of gamma globulins against brain-specific non-histone chromosomal proteins on the reproducti"," ","","","","1987-08-14T00:00:00Z","","fla"
"","Jejunal atresia with 'apple peel' deformity. A report of eight survivors."," ","","","","1989-09-01T00:00:00Z","","fla"
"","[Cystogenous nematode, Heterodera (Globodera) mali sp. n., an apple parasite in Kazakhstan]."," ","","","","1976-02-03T00:00:00Z","","fla"
"","The quality of health care: the practical clinical view."," ","","","","1990-04-30T00:00:00Z","","fla"
"","Comparison of results of skin prick tests (with fresh foods and commercial food extracts) and RAST i"," ","","","","1989-03-15T00:00:00Z","","fla"
"","[Phytoalexin activity in apples as an indication of their resistance to phytopathogenic microorganis"," ","","","","1975-12-09T00:00:00Z","","fla"
"","High pressure liquid chromatographic determination of patulin in apple juice."," ","","","","1978-11-15T00:00:00Z","","fla"
"","Disappearance of patulin during alcoholic fermentation of apple juice."," ","","","","1978-10-28T00:00:00Z","","fla"
"","[Application HTST-heating of the mash and its influence on the aroma composition during the producti"," ","","","","1978-08-18T00:00:00Z","","fla"
"","Perceptions of and preferences for sweet taste in uremic children."," ","","","","1990-07-27T00:00:00Z","","fla"
"","Long-term hypolipaemic effect of apple pulp on golden hamsters with alimentary hyperlipoproteinaemia"," ","","","","1990-08-31T00:00:00Z","","fla"
"","Azinphos-methyl residues in apples and spatial distribution of fluorescein in vase-shaped apple tree"," ","","","","1991-06-01T00:00:00Z","","fla"
"","[The energetic utilization of rations with molasses, dried sugar beets, apple pectin and lucerne lea"," ","","","","1992-10-01T00:00:00Z","","fla"
"","[Exposure to residues on plant surfaces following the use of organophosphate insecticides in agricul"," ","","","","1989-09-30T00:00:00Z","","fla"
