"","[Marginal fit of porcelain-fused-to-metal crowns: a comparative study of metal and porcelain butt ma"," ","","","","1989-09-22T00:00:00Z","","fla"
"","The production of secondary caries-like lesions on cavity walls and the assessment of microleakage u"," ","","","","","","fla"
"","[Rumen fistula operation in a sitatunga antelope (Tragelaphus spekei gratus)]."," ","","","","1991-01-01T00:00:00Z","","fla"
"","[GLC-mass-spectrometrical investigation of the volatile components of wines. VI. Aroma compounds of "," ","","","","1976-04-28T00:00:00Z","","fla"
"","Validation of the smoking habits of a sample of the patient population seen in a pulmonary function "," ","","","","1989-12-29T00:00:00Z","","fla"
"","Effect of repair surface design, repair material, and processing method on the transverse strength o"," ","","","","1992-06-30T00:00:00Z","","fla"
"","Use of bioelectrical impedance to predict leanness of Boston butts."," ","","","","1992-11-02T00:00:00Z","","fla"
"","NMR in cancer: XVIII. A superconductive NMR magnet for a human sample."," ","","","","1977-10-07T00:00:00Z","","fla"
"","Margin designs and fracture resistance of incisal resin composite restorations."," ","","","","1992-02-13T00:00:00Z","","fla"
"","[Single tooth replacement with an endosseous oral implant and a ceramic fused to metal crown in comb"," ","","","","1991-11-13T00:00:00Z","","fla"
"","Cement thickness and microleakage under metal-ceramic restorations with a facial butted margin: an i"," ","","","","1992-11-11T00:00:00Z","","fla"
"","The bonded alumina crown. 2. Construction using the twin foil technique."," ","","","","1976-06-08T00:00:00Z","","fla"
"","[The differential diagnosis and the identification importance of the track of the heel of stabbing-c"," ","","","","1991-08-15T00:00:00Z","","fla"
"","[Comparative studies on different full and veneer-ceramic crowns]."," ","","","","1989-11-23T00:00:00Z","","fla"
"","Potential exposure from smoking parathion-contaminated cigarettes."," ","","","","1977-08-22T00:00:00Z","","fla"
"","A new metal-ceramic crown."," ","","","","1978-09-01T00:00:00Z","","fla"
"","Marginal leakage with different composite restorative materials in vitro. Effect of cavity design."," ","","","","1976-10-01T00:00:00Z","","fla"
"","[Pistols and revolvers as striking tools]."," ","","","","1989-03-01T00:00:00Z","","fla"
"","Ultrastructural identification of umbilical cord vein endothelium in situ and in culture."," ","","","","1975-09-16T00:00:00Z","","fla"
"","Invisible supragingival crown margins: an in vitro study."," ","","","","1989-06-07T00:00:00Z","","fla"
"","Bile salt 3 alpha- and 12 alpha-hydroxysteroid dehydrogenases from Eubacterium lentum and related or"," ","","","","1979-05-15T00:00:00Z","","fla"
"","[The effect of modified forms of preparation on the quality of SR Isosit composite inlay margins]."," ","","","","1991-09-20T00:00:00Z","","fla"
"","Factors affecting the detection of infestations of Boophilus microplus in tick control programs."," ","","","","1976-07-25T00:00:00Z","","fla"
