"","Effects of morpholinyl doxorubicins, doxorubicin, and actinomycin D on mammalian DNA topoisomerases "," ","","","","1990-07-05T00:00:00Z","","fla"
"","DNA polymerase epsilon: the latest member in the family of mammalian DNA polymerases."," ","","","","1990-11-01T00:00:00Z","","fla"
"","Functional roles of DNA polymerases beta and gamma."," ","","","","1979-05-31T00:00:00Z","","fla"
"","Heterologous deoxyribonucleic acid uptake and complexing with cellular constituents in competent Bac"," ","","","","1975-12-15T00:00:00Z","","fla"
"","Enzymatic initiation of DNA synthesis by yeast DNA polymerases."," ","","","","1977-05-16T00:00:00Z","","fla"
"","Involvement of eucaryotic deoxyribonucleic acid polymerases alpha and gamma in the replication of ce"," ","","","","1979-10-02T00:00:00Z","","fla"
"","DNA polymerases from Chlamydomonas reinhardii. Further characterization, action of inhibitors and as"," ","","","","1978-04-01T00:00:00Z","","fla"
"","Amiloride intercalates into DNA and inhibits DNA topoisomerase II."," ","","","","1987-09-25T00:00:00Z","","fla"
"","Purification and properties of spleen necrosis virus DNA polymerase."," ","","","","1975-10-01T00:00:00Z","","fla"
"","Analysis of the formation of AMP-DNA intermediate and the successive reaction by human DNA ligases I"," ","","","","1992-04-25T00:00:00Z","","fla"
"","Exposure of DNA bases induced by the interaction of DNA and calf thymus DNA helix-destabilizing prot"," ","","","","1978-10-01T00:00:00Z","","fla"
"","Mechanism of DNA elongation catalyzed by Escherichia coli DNA polymerase III, dnaZ protein, and DNA "," ","","","","1976-10-15T00:00:00Z","","fla"
"","RNA-primed DNA synthesis: specific catalysis by HeLa cell DNA polymerase alpha."," ","","","","1975-02-14T00:00:00Z","","fla"
"","DNA polymerase III, a second essential DNA polymerase, is encoded by the S. cerevisiae CDC2 gene."," ","","","","1989-02-24T00:00:00Z","","fla"
"","An immunoassay for the study of DNA-binding activities of herpes simplex virus protein ICP8."," ","","","","1985-06-20T00:00:00Z","","fla"
"","Analysis of herpes simplex virus DNA synthesized in infected nuclei by chromatography on benzoylated"," ","","","","1976-08-20T00:00:00Z","","fla"
"","Attempts to detect Agrobacterium tumefaciens and bacteriophage PS8 DNA in crown gall tumors by DNA-D"," ","","","","1975-05-16T00:00:00Z","","fla"
"","[Effect of 5-azacytidine on E. coli cells with different DNA-methylases]."," ","","","","1985-05-30T00:00:00Z","","fla"
"","[Clinical application of anti double-stranded and single-stranded DNA antibodies measurements by enz"," ","","","","1992-10-15T00:00:00Z","","fla"
"","Effect of in vitro ultraviolet radiation on the binding capacity of anti-DNA and DNA in systemic lup"," ","","","","1989-06-20T00:00:00Z","","fla"
"","Does simian virus 40 DNA integrate into cellular DNA during productive infection?"," ","","","","1978-11-01T00:00:00Z","","fla"
"","DNA conformational change induced by the bacteriophage phi 29 connector."," ","","","","1992-11-11T00:00:00Z","","fla"
"","Physical association of base excision repair enzymes with parental and replicating DNA in BHK-21 cel"," ","","","","1989-06-01T00:00:00Z","","fla"
"","Polyadenylated RNA complementary to repetitive DNA in mouse L-cells."," ","","","","1975-04-08T00:00:00Z","","fla"
"","Supercondensed structure of plasmid pBR322 DNA in an Escherichia coli DNA topoisomerase II mutant."," ","","","","1990-11-20T00:00:00Z","","fla"
"","Ethidium bromide provides a simple tool for identifying genuine DNA-independent protein associations"," ","","","","1992-08-01T00:00:00Z","","fla"
"","Bleomycin-induced DNA synthesis in a cell-free system using a permeable mouse sarcoma cell extract."," ","","","","1987-10-09T00:00:00Z","","fla"
"","Incorporation of BrdU in a DNA fragment may affect protein-DNA interactions in a site-dependent mann"," ","","","","1992-07-08T00:00:00Z","","fla"
"","Inhibition of DNA excision by DNA polymerase-alpha inhibitor in UV-damaged HeLa cells."," ","","","","1990-08-17T00:00:00Z","","fla"
"","[Characteristics of DNA isolated from a complex form of DNA-polymerase alpha from the rat liver]."," ","","","","1989-10-31T00:00:00Z","","fla"
"","Anti-DNA antibodies can bind to the glomerulus via two distinct mechanisms."," ","","","","1992-12-20T00:00:00Z","","fla"
"","Characterization of the DNA binding activity of stable RecA-DNA complexes. Interaction between the t"," ","","","","1990-03-05T00:00:00Z","","fla"
"","Nuclear protein matrix: association with newly synthesized DNA."," ","","","","1975-07-25T00:00:00Z","","fla"
"","Regulatory function of simian virus 40 DNA replication for late viral gene expression."," ","","","","1977-11-17T00:00:00Z","","fla"
"","DNA homology of surface protein antigen A gene in mutans streptococci."," ","","","","1989-09-20T00:00:00Z","","fla"
"","Characterization of DNA and RNA in circulating immunocomplexes in multiple sclerosis, amyotrophic la"," ","","","","1985-10-30T00:00:00Z","","fla"
"","Intracellular forms of adenovirus DNA: integrated form of adenovirus DNA appears early in productive"," ","","","","1976-04-22T00:00:00Z","","fla"
"","A cell-free system for studying a priming factor involved in repair of bleomycin-damaged DNA."," ","","","","1989-04-15T00:00:00Z","","fla"
"","Transcriptional activation of pBR322 DNA can lead to duplex DNA unwinding catalyzed by the Escherich"," ","","","","1989-09-05T00:00:00Z","","fla"
"","The sequence specificity of bleomycin-induced DNA damage in intact cells."," ","","","","1985-09-05T00:00:00Z","","fla"
"","[Flow cytometric analysis in non-small-cell bronchial carcinoma and its prognostic significance]."," ","","","","1992-03-15T00:00:00Z","","fla"
"","Biosynthesis of mitochondrial DNA. Is 8 S DNA an artifact?"," ","","","","1977-05-10T00:00:00Z","","fla"
"","Improved resolution and sensitivity of human DNA fingerprinting by specific-primed labelling of M13 "," ","","","","1991-04-15T00:00:00Z","","fla"
"","DNA synthesized in the hepatitis B Dane particle DNA polymerase reaction."," ","","","","1977-01-25T00:00:00Z","","fla"
"","[Site of nuclear DNA replication in embryonic cells of the sea urchin Strongylocentrotus intermedius"," ","","","","1976-12-20T00:00:00Z","","fla"
"","Carcinoma of the anal canal and flow cytometric DNA analysis."," ","","","","1989-07-01T00:00:00Z","","fla"
"","Isolation of single stranded transcription sites from human nuclear DNA."," ","","","","1977-07-23T00:00:00Z","","fla"
"","Single-stranded DNA from oncornavirus-infected cells enriched in virus-specific DNA sequences."," ","","","","1977-09-02T00:00:00Z","","fla"
"","Effect of DNA conformation on the hydroxyl radical-induced formation of 8,5'-cyclopurine 2'-deoxyrib"," ","","","","1988-08-09T00:00:00Z","","fla"
"","Quenching of DNA cross-link precursors of chloroethylnitrosoureas and attenuation of DNA interstrand"," ","","","","1989-10-01T00:00:00Z","","fla"
"","Characterization of the repetitious human DNA families."," ","","","","1976-03-04T00:00:00Z","","fla"
"","Immunology of DNA. V. Analysis of DNA/anti-DNA complexes."," ","","","","1976-12-18T00:00:00Z","","fla"
"","Size and distribution of SV 40 DNA Sequences covalently linked with the DNA of permissive mammalian "," ","","","","1975-07-14T00:00:00Z","","fla"
"","Molecular relationship of the DNA and RNA of intracytoplasmic A particles to mouse and mammary tumou"," ","","","","1979-11-01T00:00:00Z","","fla"
"","DNA of Epstein-Barr virus. I. Comparative studies of the DNA of Epstein-Barr virus from HR-1 and B95"," ","","","","1975-03-10T00:00:00Z","","fla"
"","Studies on the substrate specificity of the DNA methylase activity from Escherichia coli K-12."," ","","","","1979-07-15T00:00:00Z","","fla"
"","Fate of heterologous deoxyribonucleic acid in Bacillus subtilis."," ","","","","1975-05-15T00:00:00Z","","fla"
"","Structure and applications of intermolecular DNA triplexes."," ","","","","1992-12-15T00:00:00Z","","fla"
"","Duplication of single stranded DNA catalyzed by calf thymus DNA polymerase alpha."," ","","","","1976-01-15T00:00:00Z","","fla"
"","Incorporation of the carbocyclic analog of 2'-deoxyguanosine into the DNA of herpes simplex virus an"," ","","","","1992-02-26T00:00:00Z","","fla"
"","Estimation of residual DNA in Feulgen reaction. A new correction of DNA determination per nucleus."," ","","","","1990-04-25T00:00:00Z","","fla"
"","Effect of nalidixic acid on DNA repair in rat hepatocytes."," ","","","","1989-06-28T00:00:00Z","","fla"
"","Inhibition of DNA repair and the enhancement of cytotoxicity of alkylating agents."," ","","","","1991-07-30T00:00:00Z","","fla"
"","DNA polymerase alpha from HeLa cells synthesizes DNA with high fidelity in a reconstituted replicati"," ","","","","1990-10-19T00:00:00Z","","fla"
"","T-DNA integration: a mode of illegitimate recombination in plants."," ","","","","1991-03-15T00:00:00Z","","fla"
"","Studies on DNA methyltransferase and alteration of the enzyme activity by chemical carcinogens."," ","","","","1986-11-22T00:00:00Z","","fla"
"","The presence of Z-helical conformation in DNA of the calf lens."," ","","","","1991-03-11T00:00:00Z","","fla"
"","Eukaryotic DNA replication. Enzymes and proteins acting at the fork."," ","","","","1990-12-27T00:00:00Z","","fla"
"","Mechanism of DNA A protein-dependent pBR322 DNA replication. DNA A protein-mediated trans-strand loa"," ","","","","1991-10-05T00:00:00Z","","fla"
"","Immunocytochemical detection of sulphonylated DNA in tissue sections. An alternative to Feulgen stai"," ","","","","1989-12-15T00:00:00Z","","fla"
"","Integration and transcription of mouse mammary tumor virus DNA in rat hepatoma cells."," ","","","","1979-02-06T00:00:00Z","","fla"
"","Purification and characterization of two DNA helicases from calf thymus nuclei."," ","","","","1991-10-25T00:00:00Z","","fla"
"","Repetitive DNA in differentiating chick tissues."," ","","","","1977-10-25T00:00:00Z","","fla"
"","A double-loop model for the replication of eukaryotic DNA."," ","","","","1989-05-15T00:00:00Z","","fla"
"","Minichromosome assembly accompanying repair-type DNA synthesis in Xenopus oocytes."," ","","","","1989-12-25T00:00:00Z","","fla"
"","Identification of DNA topoisomerase II as an intracellular target of antitumor epipodophyllotoxins i"," ","","","","1985-11-30T00:00:00Z","","fla"
"","DNA polymerase I is required for premeiotic DNA replication and sporulation but not for X-ray repair"," ","","","","1989-02-15T00:00:00Z","","fla"
"","Chloroplast DNA synthesis during the cell cycle in cultured cells of Nicotiana tabacum: inhibition b"," ","","","","1985-06-15T00:00:00Z","","fla"
"","Initiation of enzymatic DNA synthesis by yeast RNA polymerase I."," ","","","","1978-06-27T00:00:00Z","","fla"
"","Uptake of circular deoxyribonucleic acid and mechanism of deoxyribonucleic acid transport in genetic"," ","","","","1979-05-15T00:00:00Z","","fla"
"","Features of systemic lupus erythematosus in mice injected with bacterial lipopolysaccharides: identi"," ","","","","1977-05-01T00:00:00Z","","fla"
"","Differential replication of satellite DNA in polyploid tissues of Drosophila virilis."," ","","","","1975-03-15T00:00:00Z","","fla"
"","DNA-synthesis and DNA-methylation in the spleen of immunized mice."," ","","","","1975-11-15T00:00:00Z","","fla"
"","Transcription dependence of DNA packaging of bacteriophages T3 and T7."," ","","","","1992-11-22T00:00:00Z","","fla"
"","Tertiary structure and function of closed-circular mitochondrial DNA and its transcription in vivo."," ","","","","1975-09-01T00:00:00Z","","fla"
"","A DNA helicase from Xenopus laevis ovaries."," ","","","","1988-11-29T00:00:00Z","","fla"
"","Electron microscopy of herpes simplex virus DNA molecules isolated from infected cells by centrifuga"," ","","","","1977-03-01T00:00:00Z","","fla"
"","Studies on bleomycin-induced repair DNA synthesis in permeable mouse ascites sarcoma cells."," ","","","","1989-04-15T00:00:00Z","","fla"
"","Ehrlich ascites tumor (EAT) chalone effects on nascent DNA synthesis and DNA polymerase alpha and be"," ","","","","1976-11-26T00:00:00Z","","fla"
"","Proposed mechanism of bacteriophage lambda induction: acquisition of binding sites for lambda repres"," ","","","","1975-05-28T00:00:00Z","","fla"
"","Synthesis of DNA containing the simian virus 40 origin of replication by the combined action of DNA "," ","","","","1989-10-16T00:00:00Z","","fla"
"","An Okazaki piece of simian virus 40 may be synthesized by ligation of shorter precursor chains."," ","","","","1988-08-03T00:00:00Z","","fla"
"","DNA primase stimulatory factor from mouse FM3A cells has an RNase H activity. Purification of the fa"," ","","","","1990-06-25T00:00:00Z","","fla"
"","Asymmetric field inversion gel electrophoresis: a new method for detecting DNA double-strand breaks "," ","","","","1990-02-15T00:00:00Z","","fla"
"","c-myc protein and DNA replication: separation of c-myc antibodies from an inhibitor of DNA synthesis"," ","","","","1987-12-31T00:00:00Z","","fla"
"","Interaction of polyoma and mouse DNAs. IV. Time course and extent of integration of polyoma DNA into"," ","","","","1977-08-05T00:00:00Z","","fla"
"","Serological characterization of polycyclic aromatic hydrocarbon diolepoxide-DNA adducts using monocl"," ","","","","1990-11-16T00:00:00Z","","fla"
"","The role of DNA polymerases alpha, beta and gamma in nuclear DNA synthesis."," ","","","","1979-03-28T00:00:00Z","","fla"
"","DNA measurements of mitotic chromosomes of the rabbit (Orytolagus cuniculus)."," ","","","","1979-08-12T00:00:00Z","","fla"
"","Novobiocin and coumermycin inhibit DNA supercoiling catalyzed by DNA gyrase."," ","","","","1976-12-21T00:00:00Z","","fla"
"","Biochemical aspects of cardiac muscle differentiation."," ","","","","1978-05-01T00:00:00Z","","fla"
"","Repair of X-ray-induced single-strand breaks by a cell-free system."," ","","","","1990-07-27T00:00:00Z","","fla"
"","Transcription of repeat DNA in vitro by RNA polymerase III in cytosol extracts is inhibited when the"," ","","","","1985-09-16T00:00:00Z","","fla"
"","Eukaryotic DNA helicases: essential enzymes for DNA transactions."," ","","","","1992-06-15T00:00:00Z","","fla"
"","Use of polymerase chain reaction to detect latent channel catfish virus."," ","","","","1991-12-01T00:00:00Z","","fla"
"","Immobilization of native and denatured DNA on Sephadex G200."," ","","","","1985-03-22T00:00:00Z","","fla"
"","Transformation of Bacillus subtilis by DNA bound on montmorillonite and effect of DNase on the trans"," ","","","","1992-06-15T00:00:00Z","","fla"
"","Induction of DNA polymerase beta during proliferation of mitogen-stimulated human lymphocytes."," ","","","","1991-12-16T00:00:00Z","","fla"
"","Studies on bacteriophage T7 DNA synthesis in vitro. I. Resolution of the T7 replication system into "," ","","","","1975-12-01T00:00:00Z","","fla"
"","An electrophoretic method to evaluate DNA polymerase activity."," ","","","","1991-10-21T00:00:00Z","","fla"
"","Characterization of DNA used to assay sera for anti-DNA antibodies; determination of the specificiti"," ","","","","1977-02-15T00:00:00Z","","fla"
"","Calf thymus RF-C as an essential component for DNA polymerase delta and epsilon holoenzymes function"," ","","","","1992-08-25T00:00:00Z","","fla"
"","Isolation of deoxyribonucleic acid (DNA) from saliva and forensic science samples containing saliva."," ","","","","1992-03-15T00:00:00Z","","fla"
"","Characterization of early DNA synthesis in Xenopus eggs after injection of circular plasmid DNA."," ","","","","1989-05-25T00:00:00Z","","fla"
"","Quantitation of bovine papilloma viral DNA in viral-induced tumors."," ","","","","1976-03-05T00:00:00Z","","fla"
"","DNA bending by Fos and Jun: the flexible hinge model."," ","","","","1991-11-22T00:00:00Z","","fla"
"","Utilization in vitro of deoxyuridine triphosphate in DNA synthesis by DNA polymerases alpha and beta"," ","","","","1979-02-27T00:00:00Z","","fla"
"","Detection of DNA damage in stimulated human lymphocytes after enflurane exposure in vitro."," ","","","","1992-12-09T00:00:00Z","","fla"
"","Purification and characterization of DNA polymerases from Plasmodium berghei."," ","","","","1991-04-23T00:00:00Z","","fla"
"","Drug-induced DNA repair: X-ray structure of a DNA-ditercalinium complex."," ","","","","1991-03-15T00:00:00Z","","fla"
"","In vivo effects of recBC DNase, exonuclease I, and DNA polymerases of Escherichia coli on the infect"," ","","","","1977-03-05T00:00:00Z","","fla"
"","Proteins that affect DNA conformation."," ","","","","1978-06-12T00:00:00Z","","fla"
"","Protein-primed replication of bacteriophage PRD1 genome in vitro."," ","","","","1989-06-25T00:00:00Z","","fla"
"","Changes in the size of pulse-labelled DNA fragments induced in human cells by inhibitors of uracil-D"," ","","","","1989-08-21T00:00:00Z","","fla"
"","Inhibition of herpesvirus DNA synthesis by 9-beta-D-arabinofuranosyladenine in cellular and cell-fre"," ","","","","1977-03-04T00:00:00Z","","fla"
"","In vitro transcription of DNA from the 70S RNA of Rous sarcoma virus: identification and characteriz"," ","","","","1975-11-25T00:00:00Z","","fla"
"","Chromosomal transformation in the cyanobacterium Agmenellum quadruplicatum."," ","","","","1990-04-01T00:00:00Z","","fla"
"","Alterations of liver DNA after x-irradiation. Reassociation and hybridization with nuclear RNA."," ","","","","1975-09-15T00:00:00Z","","fla"
"","Preferential protection of the minor groove of non-operator DNA by lac repressor against methylation"," ","","","","1976-01-15T00:00:00Z","","fla"
"","Characterization of the repetitive DNA elements in the genome of fish lymphocystis disease viruses."," ","","","","1989-09-15T00:00:00Z","","fla"
"","Calf thymus DNA polymerase delta: purification, biochemical and functional properties of the enzyme "," ","","","","1988-07-25T00:00:00Z","","fla"
"","Some adenovirus DNA is associated with the DNA of permissive cells during productive or restricted g"," ","","","","1978-01-29T00:00:00Z","","fla"
"","Involvement of escherichia coli dnaZ gene product in DNA elongation in vitro."," ","","","","1976-04-08T00:00:00Z","","fla"
"","Interaction of DNA with DNA-binding proteins: protein exchange and complex stability."," ","","","","1978-07-03T00:00:00Z","","fla"
"","Formation and structure of infectious DNA of spleen necrosis virus."," ","","","","1977-01-04T00:00:00Z","","fla"
"","Replication of duplex DNA by bacteriophage T7 DNA polymerase and gene 4 protein is accompanied by hy"," ","","","","1977-04-04T00:00:00Z","","fla"
"","Differential dissociation of chromatin digests: a novel approach revealing a hierarchy of DNA-protei"," ","","","","1991-07-25T00:00:00Z","","fla"
"","Role of DNA intercalation in the inhibition of purified mouse leukemia (L1210) DNA topoisomerase II "," ","","","","1987-10-15T00:00:00Z","","fla"
"","Rat liver DNA ligases. Catalytic properties of a novel form of DNA ligase."," ","","","","1992-01-15T00:00:00Z","","fla"
"","Formation and repair of DNA-protein crosslinks in newly replicated DNA."," ","","","","1989-12-08T00:00:00Z","","fla"
"","Differences between the endogenous and exogenous DNA sequences of Rous-associated virus-O."," ","","","","1979-11-22T00:00:00Z","","fla"
"","A deoxyribonuclease of Diplococcus pneumoniae specific for methylated DNA."," ","","","","1975-06-10T00:00:00Z","","fla"
"","Stimulation of in vitro murine lymphocyte proliferation by bacterial DNA."," ","","","","1991-09-15T00:00:00Z","","fla"
