"","Affinity purification of the novel cysteine proteinase papaya proteinase IV, and papain from papaya "," ","","","","1989-07-15T00:00:00Z","","fla"
"","The thiol proteinases from the latex of Carica papaya L. III. The primary structure of chymopapain."," ","","","","1989-05-15T00:00:00Z","","fla"
"","The preparation of fully active chymopapain free of contaminating proteinases."," ","","","","1990-11-01T00:00:00Z","","fla"
"","N-Terminal homology in three cysteinyl proteases from Papaya latex."," ","","","","1979-12-14T00:00:00Z","","fla"
"","Papaya proteinase IV amino acid sequence."," ","","","","1989-11-20T00:00:00Z","","fla"
"","Effect of papaya (Carica papaya linn) on pregnancy and estrous cycle in albino rats of Wistar strain"," ","","","","1978-05-16T00:00:00Z","","fla"
"","A purification and some properties of two proteases from papaya latex."," ","","","","1979-08-15T00:00:00Z","","fla"
"","Free radical scavenging activity of papaya juice."," ","","","","1989-03-15T00:00:00Z","","fla"
"","The thiol proteinases from the latex of Carica papaya L. IV. Proteolytic specificities of chymopapai"," ","","","","1989-08-30T00:00:00Z","","fla"
"","Structure-function relationships in the cysteine proteinases actinidin, papain and papaya proteinase"," ","","","","1991-11-15T00:00:00Z","","fla"
"","The amino acid sequence of chymopapain from Carica papaya."," ","","","","1990-02-15T00:00:00Z","","fla"
"","In vitro anthelmintic action of some indigenous medicinal plants on Ascardia galli worms."," ","","","","1976-04-10T00:00:00Z","","fla"
"","Separation of chymopapain from papaya latex (Carica papaya) on amberlite IR-120 (Hg2+)."," ","","","","1976-06-09T00:00:00Z","","fla"
"","Antifertility investigations on the crude chloroform extract of Carica papaya Linn. seeds in male al"," ","","","","1992-11-15T00:00:00Z","","fla"
"","The baculovirus Autographa californica nuclear polyhedrosis virus genome includes a papain-like sequ"," ","","","","1992-12-20T00:00:00Z","","fla"
"","A sensitive and relevant model for evaluating anti-inflammatory activity-papaya latex-induced rat pa"," ","","","","1992-08-15T00:00:00Z","","fla"
"","Vegetable and fruit consumption in relation to prostate cancer risk in Hawaii: a reevaluation of the"," ","","","","1991-02-01T00:00:00Z","","fla"
"","A necessary modification to the preparation of papain from any high-quality latex of Carica papaya a"," ","","","","1979-02-01T00:00:00Z","","fla"
"","Nucleotide sequence comparison of the 3'-terminal regions of severe, mild, and non-papaya infecting "," ","","","","1992-12-15T00:00:00Z","","fla"
"","[Contribution to food microscopy of Anacardium occidentale L, Carica papaya L and Myrciaria cauliflo"," ","","","","1975-12-24T00:00:00Z","","fla"
"","Inhibitory activity of papain on facultative pathogens--short communication."," ","","","","1990-09-28T00:00:00Z","","fla"
"","[Sensitization to chymopapain in patients treated with chemonucleolysis]."," ","","","","1991-03-23T00:00:00Z","","fla"
"","Preliminary crystallographic data for protease omega."," ","","","","1990-06-20T00:00:00Z","","fla"
"","[Biological evaluation of Cuban plants. III]."," ","","","","1979-03-31T00:00:00Z","","fla"
"","Plant regeneration from shoot tips and callus of papaya."," ","","","","1977-09-02T00:00:00Z","","fla"
"","The primary structure of papaya mosaic virus coat protein: a revision."," ","","","","1989-12-30T00:00:00Z","","fla"
"","The nucleotide sequence and genome organization of strawberry mild yellow edge-associated potexvirus"," ","","","","1992-02-01T00:00:00Z","","fla"
"","Protection against detrimental effects of potyvirus infection in transgenic tobacco plants expressin"," ","","","","1991-08-09T00:00:00Z","","fla"
"","The complete amino acid sequence of bovine cathepsin S and a partial sequence of bovine cathepsin L."," ","","","","1991-06-03T00:00:00Z","","fla"
"","[The construction of a model of the envelope proteins of potex-group viruses]."," ","","","","1990-11-27T00:00:00Z","","fla"
"","Inhibition of cysteine proteinases by a protein inhibitor from potato."," ","","","","1990-09-03T00:00:00Z","","fla"
"","Complete nucleotide sequence of clover yellow mosaic virus RNA."," ","","","","1990-09-01T00:00:00Z","","fla"
"","Determination of nabam fungicide in crops by liquid chromatography with postcolumn reaction detectio"," ","","","","1991-01-07T00:00:00Z","","fla"
"","[In vitro regeneration and applications using vegetable cell and tissue culture]."," ","","","","1990-10-05T00:00:00Z","","fla"
"","Fruits and vegetables are a source of galactose: implications in planning the diets of patients with"," ","","","","1991-05-24T00:00:00Z","","fla"
"","[Anti-infective phytotherapies of the tree-savannah, Senegal (occidental Africa). III: A review of p"," ","","","","1989-05-01T00:00:00Z","","fla"
